,0
0,North Dakota
1,Pennsylvania
2,Arkansas
3,Michigan
4,Washington
5,Texas
6,Connecticut
7,Vermont
8,Massachusetts
9,South Dakota
10,Mississippi
11,Oklahoma
12,New Hampshire
13,Rhode Island
14,Delaware
15,South Carolina
16,Kentucky
17,Montana
18,Idaho
19,Wisconsin
20,Iowa
21,Maryland
22,Minnesota
23,North Carolina
24,Missouri
25,Illinois
26,Oregon
27,West Virginia
28,Tennessee
29,Louisiana
30,Wyoming
31,Utah
32,Ohio
33,Colorado
34,Maine
35,New York
36,Virginia
